instruction,input,output
When did the events related to 112898 occur?,,Rev. 112898 (Pink) Rev. 121698 (Yellow) Rev. 010899 (Green) Rev. 012799 (Goldenrod) Rev. 020499 (Buff) Rev. 020999
Who or what is 012799?,,Rev. 112898 (Pink) Rev. 121698 (Yellow) Rev. 010899 (Green) Rev. 012799 (Goldenrod) Rev. 020499 (Buff) Rev. 020999 (Salmon) Rev. 021799 (Cherry) THREE KINGS screenplay by David
Who or what is David O. Russell?,,"(Goldenrod) Rev. 020499 (Buff) Rev. 020999 (Salmon) Rev. 021799 (Cherry) THREE KINGS screenplay by David O. Russell story by John Ridley REVISED FINAL DRAFT February 17, 1999 PLEASE NOTE: ALL TEXT IN BRACKETS INDICATES"
"When did the events related to February 17, 1999 occur?",,"021799 (Cherry) THREE KINGS screenplay by David O. Russell story by John Ridley REVISED FINAL DRAFT February 17, 1999 PLEASE NOTE: ALL TEXT IN BRACKETS INDICATES ARABIC."
What is the main point about Rev.?,,"Rev. 112898 (Pink) Rev. 121698 (Yellow) Rev. 010899 (Green) Rev. 012799 (Goldenrod) Rev. 020499 (Buff) Rev. 020999 (Salmon) Rev. 021799 (Cherry) THREE KINGS screenplay by David O. Russell story by John Ridley REVISED FINAL DRAFT February 17, 1999 PLEASE NOTE: ALL TEXT IN BRACKETS INDICATES ARABIC."
What is the main point about SUBTITLES?,,SUBTITLES USED ONLY WHERE NOTED.
Who or what is EXT?,,FADE IN: 1 EXT.
Who or what is O.S.?,,"There are O.S. sounds: soldier's EQUIPMENT CLANKING, BOOTS RUNNING ON SAND."
Who or what is FRAME?,,"The back of his helmeted head and his uniformed shoulders appear in the BOTTOM OF the FRAME, running."
Who or what is Sergeant?,,"This is TROY BARLOW, Sergeant, U.S. Army, 25 years old."
Who or what is BERM SOLDIER 1 (O.S.)?,,"TROY Are we shooting people, or what? BERM SOLDIER 1 (O.S.) Are we shooting? TORY That's what I'm asking you."
Who or what is PAN TO 100 yards?,,PAN TO 100 yards away -- ZOOM IN -- SOLDIER 2 stands with his head tilted back while SOLDIER 3 looks into his eyes.
